"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Нажимаем сабмит без заполнения полей","528","Негативный тест: Попытка отправки формы с пустыми полями","tests.ui","Sun Jan 12 17:14:55 MSK 2025","passed","Sun Jan 12 17:14:56 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Отправляем POST-запрос с валидными данными и ожидаем статус 200.","425","Успешная отправка формы с валидными данными","tests.api","Sun Jan 12 17:14:22 MSK 2025","passed","Sun Jan 12 17:14:22 MSK 2025","TestFormAPI","API Тестирование формы","",""
"Вводим email, который должен считаться невалидным, но сайт ошибочно принимает его без валидации.","2453","Баг-репорт: ввод невалидного email, который система ошибочно принимает","tests.ui","Sun Jan 12 17:14:36 MSK 2025","passed","Sun Jan 12 17:14:38 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Отправляем GET-запрос и проверяем, что сервер отвечает статусом 200.","435","Проверка доступности страницы формы","tests.api","Sun Jan 12 17:14:21 MSK 2025","passed","Sun Jan 12 17:14:22 MSK 2025","TestFormAPI","API Тестирование формы","",""
"Заполняем поля очень длинными строками и нажимаем кнопку отправки.","614","Негативный тест: ввод большого количества символов в поля","tests.ui","Sun Jan 12 17:14:31 MSK 2025","passed","Sun Jan 12 17:14:32 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Заполняем форму валидными данными и нажимаем кнопку сабмит несколько раз подряд","615","Негативный тест: Многократное нажатие на кнопку отправки","tests.ui","Sun Jan 12 17:15:12 MSK 2025","passed","Sun Jan 12 17:15:12 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, оставляем выпадающий список как есть, нажимаем сабмит","1072","Позитивный тест: Отправка формы с валидными данными (по умолчанию Offer)","tests.ui","Sun Jan 12 17:14:39 MSK 2025","passed","Sun Jan 12 17:14:40 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, выбираем Discount, нажимаем сабмит","608","Позитивный тест: Отправка формы с валидными данными (Discount)","tests.ui","Sun Jan 12 17:15:09 MSK 2025","passed","Sun Jan 12 17:15:09 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Вводим email, который должен считаться невалидным, но сайт ошибочно принимает его без валидации.","2485","Баг-репорт: ввод невалидного email, который система ошибочно принимает","tests.ui","Sun Jan 12 17:14:48 MSK 2025","passed","Sun Jan 12 17:14:50 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, оставляем выпадающий список как есть, нажимаем сабмит","3682","Позитивный тест: Отправка формы с валидными данными (по умолчанию Offer)","tests.ui","Sun Jan 12 17:15:04 MSK 2025","passed","Sun Jan 12 17:15:07 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Вводим в поле email невалидные значения, которые должны вызвать ошибку, и проверяем появление валидационного сообщения.","2475","Негативный тест: ввод явно невалидного email","tests.ui","Sun Jan 12 17:14:58 MSK 2025","passed","Sun Jan 12 17:15:00 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, выбираем Discount в выпадающем списке и нажимаем кнопку отправки.","694","Позитивный тест: отправка формы с опцией Discount","tests.ui","Sun Jan 12 17:14:30 MSK 2025","passed","Sun Jan 12 17:14:30 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Вводим максимальное количество символов в поля, нажимаем сабмит","1231","Негативный тест: Ввод слишком длинных значений в поля формы","tests.ui","Sun Jan 12 17:15:10 MSK 2025","passed","Sun Jan 12 17:15:11 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Нажимаем кнопку отправки формы без заполнения полей.","532","Негативный тест: отправка формы с пустыми полями","tests.ui","Sun Jan 12 17:14:30 MSK 2025","passed","Sun Jan 12 17:14:31 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Вводим в поле email невалидные значения, которые должны вызвать ошибку, и проверяем появление валидационного сообщения.","2514","Негативный тест: ввод явно невалидного email","tests.ui","Sun Jan 12 17:15:12 MSK 2025","passed","Sun Jan 12 17:15:15 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Вводим в поле email невалидные значения, которые должны вызвать ошибку, и проверяем появление валидационного сообщения.","2741","Негативный тест: ввод явно невалидного email","tests.ui","Sun Jan 12 17:14:33 MSK 2025","passed","Sun Jan 12 17:14:36 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Заполняем форму валидными данными и нажимаем кнопку сабмит несколько раз подряд","615","Негативный тест: Многократное нажатие на кнопку отправки","tests.ui","Sun Jan 12 17:14:44 MSK 2025","passed","Sun Jan 12 17:14:45 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, выбираем Sale, нажимаем сабмит","1241","Позитивный тест: Отправка формы с валидными данными (Sale)","tests.ui","Sun Jan 12 17:15:07 MSK 2025","passed","Sun Jan 12 17:15:09 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Вводим email, который должен считаться невалидным, но сайт ошибочно принимает его без валидации.","2455","Баг-репорт: ввод невалидного email, который система ошибочно принимает","tests.ui","Sun Jan 12 17:15:15 MSK 2025","passed","Sun Jan 12 17:15:17 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Нажимаем сабмит без заполнения полей","796","Негативный тест: Попытка отправки формы с пустыми полями","tests.ui","Sun Jan 12 17:14:43 MSK 2025","passed","Sun Jan 12 17:14:44 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, выбираем Discount, нажимаем сабмит","1681","Позитивный тест: Отправка формы с валидными данными (Discount)","tests.ui","Sun Jan 12 17:14:41 MSK 2025","passed","Sun Jan 12 17:14:43 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Вводим максимальное количество символов в поля, нажимаем сабмит","607","Негативный тест: Ввод слишком длинных значений в поля формы","tests.ui","Sun Jan 12 17:14:44 MSK 2025","passed","Sun Jan 12 17:14:44 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем поля валидными данными и многократно нажимаем кнопку отправки.","1105","Негативный тест: многократное нажатие на кнопку отправки","tests.ui","Sun Jan 12 17:14:32 MSK 2025","passed","Sun Jan 12 17:14:33 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Вводим максимальное количество символов в поля, нажимаем сабмит","858","Негативный тест: Ввод слишком длинных значений в поля формы","tests.ui","Sun Jan 12 17:14:56 MSK 2025","passed","Sun Jan 12 17:14:57 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Отправляем POST-запрос с невалидным email, который должен вызвать валидацию.","402","Отправка формы с невалидным email (ожидаемая ошибка)","tests.api","Sun Jan 12 17:14:22 MSK 2025","skipped","Sun Jan 12 17:14:23 MSK 2025","TestFormAPI","API Тестирование формы","",""
"Нажимаем сабмит без заполнения полей","779","Негативный тест: Попытка отправки формы с пустыми полями","tests.ui","Sun Jan 12 17:15:09 MSK 2025","passed","Sun Jan 12 17:15:10 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Отправляем POST-запрос с невалидным email, который система ошибочно принимает.","432","Отправка формы с невалидным email (который принимается из-за бага)","tests.api","Sun Jan 12 17:14:23 MSK 2025","skipped","Sun Jan 12 17:14:23 MSK 2025","TestFormAPI","API Тестирование формы","",""
"Вводим email, который должен считаться невалидным, но сайт ошибочно принимает его без валидации.","2435","Баг-репорт: ввод невалидного email, который система ошибочно принимает","tests.ui","Sun Jan 12 17:15:00 MSK 2025","passed","Sun Jan 12 17:15:03 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Вводим в поле email невалидные значения, которые должны вызвать ошибку, и проверяем появление валидационного сообщения.","2494","Негативный тест: ввод явно невалидного email","tests.ui","Sun Jan 12 17:14:45 MSK 2025","passed","Sun Jan 12 17:14:48 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, выбираем Sale в выпадающем списке и нажимаем кнопку отправки.","432","Позитивный тест: отправка формы с опцией Sale","tests.ui","Sun Jan 12 17:14:29 MSK 2025","passed","Sun Jan 12 17:14:30 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Заполняем все поля валидными данными и нажимаем кнопку отправки.","4016","Позитивный тест: отправка формы с валидными данными (по умолчанию Offer)","tests.ui","Sun Jan 12 17:14:25 MSK 2025","passed","Sun Jan 12 17:14:29 MSK 2025","TestFormPage","Тестирование формы в дефолтном браузере","",""
"Заполняем все поля валидными данными, выбираем Sale, нажимаем сабмит","601","Позитивный тест: Отправка формы с валидными данными (Sale)","tests.ui","Sun Jan 12 17:14:40 MSK 2025","passed","Sun Jan 12 17:14:41 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, выбираем Discount, нажимаем сабмит","587","Позитивный тест: Отправка формы с валидными данными (Discount)","tests.ui","Sun Jan 12 17:14:55 MSK 2025","passed","Sun Jan 12 17:14:55 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, оставляем выпадающий список как есть, нажимаем сабмит","2566","Позитивный тест: Отправка формы с валидными данными (по умолчанию Offer)","tests.ui","Sun Jan 12 17:14:51 MSK 2025","passed","Sun Jan 12 17:14:54 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем форму валидными данными и нажимаем кнопку сабмит несколько раз подряд","589","Негативный тест: Многократное нажатие на кнопку отправки","tests.ui","Sun Jan 12 17:14:57 MSK 2025","passed","Sun Jan 12 17:14:57 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
"Заполняем все поля валидными данными, выбираем Sale, нажимаем сабмит","622","Позитивный тест: Отправка формы с валидными данными (Sale)","tests.ui","Sun Jan 12 17:14:54 MSK 2025","passed","Sun Jan 12 17:14:55 MSK 2025","TestFormPageMultiBrowser","Мультибраузерное тестирование формы","",""
